year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
1980;AGO;entrp_pass_lo;25299.93371;25299.93371;25299.93371;25299.93371;25299.93371;25299.93371
1985;AGO;entrp_pass_lo;28787.6779;28787.6779;28787.6779;28787.6779;28787.6779;28787.6779
1990;AGO;entrp_pass_lo;35048.90585;35048.90585;35048.90585;35048.90585;35048.90585;35048.90585
1995;AGO;entrp_pass_lo;31121.06118;31121.06118;31121.06118;31121.06118;31121.06118;31121.06118
2000;AGO;entrp_pass_lo;41940.32034;41940.32034;41940.32034;41940.32034;41940.32034;41940.32034
2005;AGO;entrp_pass_lo;69174.48863;69174.48863;69174.48863;69174.48863;69174.48863;69174.48863
2010;AGO;entrp_pass_lo;125408.5252;125408.5252;125408.5252;125408.5252;125408.5252;125408.5252
2015;AGO;entrp_pass_lo;170573.1916;170573.1916;170573.1916;170573.1916;170573.1916;170573.1916
2020;AGO;entrp_pass_lo;209079.5928;208696.3071;210647.0214;209079.5928;208696.3071;210647.0214
2025;AGO;entrp_pass_lo;234275.994;229986.4226;245593.8512;234275.994;229986.4226;245593.8512
2030;AGO;entrp_pass_lo;257050.3952;242385.5381;288792.6809;257050.3952;242385.5381;288792.6809
2035;AGO;entrp_pass_lo;280016.7964;246098.6536;342028.5107;280016.7964;246098.6536;342028.5107
2040;AGO;entrp_pass_lo;316467.1976;256719.769;413614.3405;316467.1976;256719.769;413614.3405
2045;AGO;entrp_pass_lo;376179.5988;281541.8845;516522.1702;376179.5988;281541.8845;516522.1702
2050;AGO;entrp_pass_lo;464994;324819;663750;464994;324819;663750
2055;AGO;entrp_pass_lo;591431;394374;869382;591431;394374;869382
2060;AGO;entrp_pass_lo;750860;486447;1133130;750860;486447;1133130
2070;AGO;entrp_pass_lo;1160284;747486;1833656;1160284;747486;1833656
2080;AGO;entrp_pass_lo;1655046;1119581;2727862;1655046;1119581;2727862
2090;AGO;entrp_pass_lo;2181823;1601584;3752107;2181823;1601584;3752107
2100;AGO;entrp_pass_lo;2687836;2184172;4834886;2687836;2184172;4834886
2110;AGO;entrp_pass_lo;2687836;2184172;4834886;2687836;2184172;4834886
2130;AGO;entrp_pass_lo;2687836;2184172;4834886;2687836;2184172;4834886
2150;AGO;entrp_pass_lo;2687836;2184172;4834886;2687836;2184172;4834886
1965;AIA;entrp_pass_lo;74.59079986;74.59079986;74.59079986;74.59079986;74.59079986;74.59079986
1970;AIA;entrp_pass_lo;78.07999803;78.07999803;78.07999803;78.07999803;78.07999803;78.07999803
1975;AIA;entrp_pass_lo;80.88600235;80.88600235;80.88600235;80.88600235;80.88600235;80.88600235
1980;AIA;entrp_pass_lo;81.71559731;81.71559731;81.71559731;81.71559731;81.71559731;81.71559731
1985;AIA;entrp_pass_lo;81.27639964;81.27639964;81.27639964;81.27639964;81.27639964;81.27639964
1990;AIA;entrp_pass_lo;101.6747959;101.6747959;101.6747959;101.6747959;101.6747959;101.6747959
1995;AIA;entrp_pass_lo;119.6453992;119.6453992;119.6453992;119.6453992;119.6453992;119.6453992
