year;sector;reference_demand_goessling et.al;reference_demand_JADC;reference AIM, SSP2;reference AIM, SSP1;reference AIM, SSP5
2025;trn_aviation_intl_B;;;;;
2025;trn_aviation_intl_d_B;;;;;
2025;trn_aviation_intl_d_L;;;;;
2025;trn_aviation_intl_L;;;;;
2026;trn_aviation_intl;;;12.0578761;12.87397454;13.38282547
2026;trn_aviation_intl_B;;;;;
2026;trn_aviation_intl_d_B;;;;;
2026;trn_aviation_intl_d_L;;;;;
2026;trn_aviation_intl_L;;;;;
2027;trn_aviation_intl;;;12.59495952;13.56114863;14.21660821
2027;trn_aviation_intl_B;;;;;
2027;trn_aviation_intl_d_B;;;;;
2027;trn_aviation_intl_d_L;;;;;
2027;trn_aviation_intl_L;;;;;
2028;trn_aviation_intl;;;13.14901465;14.26661342;15.06192159
2028;trn_aviation_intl_B;;;;;
2028;trn_aviation_intl_d_B;;;;;
2028;trn_aviation_intl_d_L;;;;;
2028;trn_aviation_intl_L;;;;;
2029;trn_aviation_intl;;;13.72653215;15.01596564;15.96379718
2029;trn_aviation_intl_B;;;;;
2029;trn_aviation_intl_d_B;;;;;
2029;trn_aviation_intl_d_L;;;;;
2029;trn_aviation_intl_L;;;;;
2030;trn_aviation_intl;;;14.32368455;15.79352234;16.90672778
2030;trn_aviation_intl_B;;;;;
2030;trn_aviation_intl_d_B;;;;;
2030;trn_aviation_intl_d_L;;;;;
2030;trn_aviation_intl_L;;;;;
2031;trn_aviation_intl;;;14.84568669;16.48864097;17.79803399
2031;trn_aviation_intl_B;;;;;
2031;trn_aviation_intl_d_B;;;;;
2031;trn_aviation_intl_d_L;;;;;
2031;trn_aviation_intl_L;;;;;
2032;trn_aviation_intl;;;15.36070398;17.18811656;18.71560222
2032;trn_aviation_intl_B;;;;;
2032;trn_aviation_intl_d_B;;;;;
2032;trn_aviation_intl_d_L;;;;;
2032;trn_aviation_intl_L;;;;;
2033;trn_aviation_intl;;;15.91537573;17.95100305;19.70174043
2033;trn_aviation_intl_B;;;;;
2033;trn_aviation_intl_d_B;;;;;
2033;trn_aviation_intl_d_L;;;;;
2033;trn_aviation_intl_L;;;;;
2034;trn_aviation_intl;;;16.5055315;18.75548821;20.75853767
2034;trn_aviation_intl_B;;;;;
2034;trn_aviation_intl_d_B;;;;;
2034;trn_aviation_intl_d_L;;;;;
2034;trn_aviation_intl_L;;;;;
2035;trn_aviation_intl;;;17.12246077;19.60221406;21.87715382
2035;trn_aviation_intl_B;;;;;
2035;trn_aviation_intl_d_B;;;;;
2035;trn_aviation_intl_d_L;;;;;
2035;trn_aviation_intl_L;;;;;
2036;trn_aviation_intl;;;17.69344061;20.38534702;22.95866219
2036;trn_aviation_intl_B;;;;;
2036;trn_aviation_intl_d_B;;;;;
2036;trn_aviation_intl_d_L;;;;;
2036;trn_aviation_intl_L;;;;;
2037;trn_aviation_intl;;;18.27663887;21.19494212;24.0847065
2037;trn_aviation_intl_B;;;;;
2037;trn_aviation_intl_d_B;;;;;
2037;trn_aviation_intl_d_L;;;;;
2037;trn_aviation_intl_L;;;;;
2038;trn_aviation_intl;;;18.88969824;22.03794411;25.26843575
2038;trn_aviation_intl_B;;;;;
2038;trn_aviation_intl_d_B;;;;;
2038;trn_aviation_intl_d_L;;;;;
2038;trn_aviation_intl_L;;;;;
2039;trn_aviation_intl;;18.664;19.52967922;22.93096998;26.53652516
2039;trn_aviation_intl_B;;;;;
2039;trn_aviation_intl_d_B;;;;;
2039;trn_aviation_intl_d_L;;;;;
2039;trn_aviation_intl_L;;;;;
2040;trn_aviation_intl;;;20.19662928;23.85935522;27.86609361
2040;trn_aviation_intl_B;;;;;
2040;trn_aviation_intl_d_B;;;;;
2040;trn_aviation_intl_d_L;;;;;
2040;trn_aviation_intl_L;;;;;
2041;trn_aviation_intl;;;20.81101539;24.74893946;29.17682415
2041;trn_aviation_intl_B;;;;;
2041;trn_aviation_intl_d_B;;;;;
2041;trn_aviation_intl_d_L;;;;;
2041;trn_aviation_intl_L;;;;;
2042;trn_aviation_intl;;;21.42030846;25.65759879;30.52912698
2042;trn_aviation_intl_B;;;;;
2042;trn_aviation_intl_d_B;;;;;
2042;trn_aviation_intl_d_L;;;;;
2042;trn_aviation_intl_L;;;;;
2043;trn_aviation_intl;;;22.05169662;26.60386279;31.94646961
2043;trn_aviation_intl_B;;;;;
2043;trn_aviation_intl_d_B;;;;;
2043;trn_aviation_intl_d_L;;;;;
2043;trn_aviation_intl_L;;;;;
2044;trn_aviation_intl;;;22.69724861;27.59349898;33.43379009
2044;trn_aviation_intl_B;;;;;
2044;trn_aviation_intl_d_B;;;;;
2044;trn_aviation_intl_d_L;;;;;
2044;trn_aviation_intl_L;;;;;
2045;trn_aviation_intl;;;23.35634991;28.60687598;34.97846926
2045;trn_aviation_intl_B;;;;;
2045;trn_aviation_intl_d_B;;;;;
2045;trn_aviation_intl_d_L;;;;;
2045;trn_aviation_intl_L;;;;;
2046;trn_aviation_intl;;;23.98334736;29.56603628;36.48980901
2046;trn_aviation_intl_B;;;;;
2046;trn_aviation_intl_d_B;;;;;
2046;trn_aviation_intl_d_L;;;;;
2046;trn_aviation_intl_L;;;;;
2047;trn_aviation_intl;;;24.61529215;30.54978555;38.05680057
2047;trn_aviation_intl_B;;;;;
2047;trn_aviation_intl_d_B;;;;;
2047;trn_aviation_intl_d_L;;;;;
2047;trn_aviation_intl_L;;;;;
2048;trn_aviation_intl;;;25.26759379;31.58168784;39.68919792
2048;trn_aviation_intl_B;;;;;
2048;trn_aviation_intl_d_B;;;;;
2048;trn_aviation_intl_d_L;;;;;
2048;trn_aviation_intl_L;;;;;
2049;trn_aviation_intl;;;25.93946298;32.66372171;41.40281927
2049;trn_aviation_intl_B;;;;;
